epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29887,1.66893,4.06925,1.17479,0.00151,0.22613,0.01608,0.01284,1.30298,3.9697,0.92431,6.666e-05,6.666e-05,6.666e-05
2,3.82806,1.3925,3.72629,1.02626,0.10264,0.23707,0.07736,0.05735,1.52805,3.90515,0.97877,0.000143,0.000143,0.000143
3,5.20559,1.49189,3.33757,1.02152,0.0423,0.24983,0.05705,0.03786,1.45949,3.8706,0.96095,0.0002178,0.0002178,0.0002178
4,6.51768,1.46996,2.93035,1.00079,0.03002,0.33503,0.04979,0.03236,1.34636,3.78766,0.92379,0.000291061,0.000291061,0.000291061
5,7.86686,1.58556,2.54207,1.05617,0.02404,0.28717,0.05048,0.03341,1.44963,3.65545,0.9411,0.000362781,0.000362781,0.000362781
6,9.21493,1.52094,2.18461,0.9978,0.0298,0.27922,0.05433,0.03877,1.39777,3.53051,0.93199,0.000432962,0.000432962,0.000432962
7,10.5628,1.44203,1.81584,0.99198,0.03824,0.30437,0.08084,0.05477,1.47335,3.40272,0.95636,0.000501603,0.000501603,0.000501603
8,11.8847,1.47713,1.71754,1.03452,0.04198,0.32394,0.10331,0.06876,1.30114,3.32788,0.9312,0.000568704,0.000568704,0.000568704
9,13.2238,1.44811,1.66688,1.03156,0.04815,0.38418,0.17262,0.10559,1.45047,3.17765,0.9622,0.000634265,0.000634265,0.000634265
10,14.5405,1.43492,1.55819,1.02171,0.40701,0.17724,0.21503,0.13052,1.32752,3.03312,0.9504,0.000698287,0.000698287,0.000698287
11,15.829,1.45714,1.53328,1.03586,0.21417,0.48558,0.2756,0.15143,1.3535,2.62772,0.96384,0.000760768,0.000760768,0.000760768
12,17.1747,1.39586,1.45029,1.01564,0.74175,0.24591,0.34777,0.20403,1.36248,2.10004,0.97453,0.00082171,0.00082171,0.00082171
13,18.4379,1.43283,1.40648,1.00482,0.7001,0.29542,0.36646,0.21597,1.33386,1.89912,0.97315,0.000881112,0.000881112,0.000881112
14,19.806,1.37039,1.3993,1.00464,0.66233,0.29115,0.35274,0.18333,1.50332,1.76275,1.00409,0.000938974,0.000938974,0.000938974
15,21.2195,1.36059,1.32756,0.99591,0.57167,0.3351,0.39173,0.23126,1.30396,1.7448,0.97101,0.000957015,0.000957015,0.000957015
16,22.6519,1.34596,1.31363,0.97613,0.50516,0.40294,0.40375,0.22182,1.4073,1.52007,0.99352,0.000946016,0.000946016,0.000946016
17,24.1018,1.33088,1.30254,0.97903,0.46433,0.40083,0.40313,0.21641,1.45588,1.38012,0.99505,0.000935018,0.000935018,0.000935018
18,25.4655,1.30516,1.31777,0.97703,0.45911,0.39341,0.40731,0.24067,1.32259,1.2631,0.96411,0.000924019,0.000924019,0.000924019
